,City,Country,Lat,Long,Max Temp,Humidity,Cloudiness,Wind Speed,Date
370,Kodinsk,RU,58.69,99.18,16.14,96,100,3.87,1605316893
371,Mehrān,IR,33.12,46.16,39.2,69,0,4.7,1605316893
372,Repino,RU,60.17,29.87,34.0,87,0,7.54,1605316893
373,Tigil',RU,57.8,158.67,22.98,90,100,7.58,1605316893
374,Tessalit,ML,20.2,1.01,66.74,25,0,8.79,1605316893
375,Hofn,IS,64.25,-15.21,40.82,68,76,13.98,1605316893
376,Sørland,NO,67.67,12.69,44.6,76,20,10.29,1605316893
377,Severnyy,RU,50.68,36.55,26.64,92,40,4.47,1605316893
378,Huarmey,PE,-10.07,-78.15,63.63,84,72,8.61,1605316893
379,Gorontalo,ID,0.54,123.06,89.15,57,11,0.94,1605316894
380,Bismarck,US,46.81,-100.78,32.0,68,1,5.82,1605316801
381,Lufilufi,WS,-13.87,-171.6,82.4,88,75,5.82,1605316894
382,Wewak,PG,-3.55,143.63,84.56,70,86,3.04,1605316894
383,Langenburg,DE,49.25,9.85,51.8,81,100,4.7,1605316894
384,Bor,RU,56.36,44.07,32.0,97,90,2.24,1605316894
385,La Ronge,CA,55.1,-105.28,15.8,92,100,5.17,1605316894
386,Te Anau,NZ,-45.42,167.72,61.54,58,100,10.27,1605316895
387,Pilar,BR,-9.6,-35.96,73.4,94,20,5.82,1605316895
388,Coahuayana Viejo,MX,18.73,-103.68,73.4,78,20,1.57,1605316895
389,Christchurch,NZ,-43.53,172.63,78.8,46,0,4.7,1605316895
390,Hambantota,LK,6.12,81.12,73.4,100,20,1.12,1605316895
391,Longview,US,32.5,-94.74,69.8,56,1,10.29,1605316596
392,Mount Gambier,AU,-37.83,140.77,57.2,76,90,6.93,1605316635
393,Aborlan,PH,9.44,118.55,82.4,78,20,4.7,1605316895
394,Esmeraldas,BR,-19.76,-44.31,71.6,88,75,3.36,1605316896
395,Sampit,ID,-2.53,112.95,83.28,83,82,1.59,1605316896
396,El Salto,MX,20.33,-104.5,69.01,65,0,3.0,1605316896
397,Pekan,MY,3.48,103.4,75.2,94,20,7.16,1605316896
398,Mezen',RU,65.85,44.24,34.57,96,100,8.55,1605316896
399,Constitución,CL,-35.33,-72.42,53.53,90,30,10.78,1605316896
400,Kostivere,EE,59.43,25.1,37.0,83,90,8.05,1605316896
401,Tarnalelesz,HU,48.05,20.18,39.43,88,34,1.88,1605316896
402,Ambilobe,MG,-13.2,49.05,75.04,88,43,0.58,1605316896
403,Bonthe,SL,7.53,-12.51,78.48,86,0,3.94,1605316897
404,Bozoum,CF,6.32,16.38,68.16,63,14,2.26,1605316897
405,Rio Grande,BR,-32.03,-52.1,68.0,87,2,6.91,1605316723
406,Hauterive,FR,46.09,3.45,50.0,66,0,4.7,1605316897
407,Havre-St-Pierre,CA,50.23,-63.6,30.2,92,90,2.24,1605316897
408,Cabinda,AO,-5.55,12.2,76.96,89,100,2.35,1605316897
409,Yumen,CN,40.28,97.2,32.09,82,86,8.41,1605316897
410,Verkhoyansk,RU,67.54,133.38,-12.5,87,88,0.67,1605316903
411,Byron Bay,AU,-28.65,153.62,89.01,45,0,4.7,1605316897
412,Kaitangata,NZ,-46.28,169.85,68.81,42,94,7.74,1605316903
413,Vila Velha,BR,-20.33,-40.29,78.8,78,40,14.99,1605316903
414,Tuatapere,NZ,-46.13,167.68,69.01,51,100,13.0,1605316903
415,Iqaluit,CA,63.75,-68.51,17.6,67,90,5.82,1605316903
416,Kodīnar,IN,20.79,70.7,74.57,49,0,7.18,1605316903
417,Vetlanda,SE,57.43,15.08,44.6,100,99,6.93,1605316903
418,Codrington,AU,-38.27,141.97,60.31,63,85,6.64,1605316904
419,Pemangkat,ID,1.17,108.97,80.22,82,100,3.29,1605316672
420,Amroha,IN,28.92,78.47,58.19,38,0,3.33,1605316904
421,Yenotayevka,RU,47.25,47.03,29.52,94,0,3.83,1605316904
422,Kichmengskiy Gorodok,RU,59.98,45.79,28.0,99,100,1.48,1605316904
423,Aksha,RU,50.28,113.29,27.46,91,45,4.05,1605316904
424,Belyy Yar,RU,53.6,91.39,15.8,85,0,6.71,1605316904
425,Deputatsky,RU,69.3,139.9,-14.66,88,0,1.21,1605316904
426,Yuncheng,CN,35.02,110.99,53.44,41,0,6.89,1605316904
427,Lianzhou,CN,24.78,112.38,65.12,54,2,4.21,1605316904
428,Yārāda,IN,17.65,83.27,71.6,94,0,2.24,1605316904
429,Damāvand,IR,35.72,52.06,42.8,81,75,4.7,1605316905
430,Muros,ES,42.78,-9.06,60.01,80,100,8.99,1605316905
431,Port Lincoln,AU,-34.73,135.87,65.61,61,0,13.51,1605316905
432,Jumla,NP,29.27,82.18,42.22,41,0,5.06,1605316905
433,Arrondissement de Saint-Denis,FR,48.92,2.33,54.0,87,90,6.93,1605316905
434,Zemio,CF,5.03,25.14,69.85,80,0,1.5,1605316905
435,Yeppoon,AU,-23.13,150.73,89.6,46,40,9.17,1605316905
436,Bartica,GY,6.4,-58.62,78.8,94,20,4.7,1605316905
437,Grindavik,IS,63.84,-22.43,35.6,74,75,19.46,1605316905
438,Road Town,VG,18.42,-64.62,80.01,87,0,4.0,1605316891
439,Batemans Bay,AU,-35.72,150.18,70.0,55,47,6.49,1605316905
440,Kinablangan,PH,7.69,126.55,85.21,66,100,5.37,1605316906
441,Anadyr,RU,64.75,177.48,5.0,77,0,11.18,1605316906
442,Kattivākkam,IN,13.22,80.32,78.8,94,75,3.36,1605316906
443,Kurchum,KZ,48.57,83.65,27.75,77,21,4.9,1605316906
444,Araxá,BR,-19.59,-46.94,67.03,92,100,1.28,1605316906
445,Gorin,RU,51.2,136.67,27.75,92,84,4.32,1605316906
446,Adamantina,BR,-21.69,-51.07,82.4,45,0,3.36,1605316906
447,Troitskoye,RU,52.98,84.68,27.99,86,87,7.02,1605316906
448,Harper,LR,4.38,-7.72,77.67,87,3,8.43,1605316906
449,Amberley,US,39.2,-84.43,45.0,69,1,3.36,1605316906
450,Waingapu,ID,-9.66,120.26,87.57,55,0,6.33,1605316907
451,West Bay,KY,19.37,-81.42,82.4,83,20,8.05,1605316907
452,Palmer,US,42.16,-72.33,39.99,100,1,3.69,1605316879
453,Usilampatti,IN,9.97,77.8,75.2,94,100,2.89,1605316907
454,Qaryat Sulūq,LY,31.67,20.25,62.98,69,0,7.49,1605316907
455,Bandarbeyla,SO,9.49,50.81,76.14,78,27,16.55,1605316908
456,Ginda,IN,30.69,78.49,53.6,93,0,5.57,1605316908
457,Boende,CD,-0.22,20.87,70.38,97,96,1.23,1605316913
458,Poum,NC,-20.23,164.02,77.59,83,0,19.3,1605316913
459,San Andrés,CO,12.58,-81.7,84.2,74,40,9.17,1605316914
460,Avanigadda,IN,16.02,80.92,71.6,88,20,3.36,1605316914
461,Pacific Grove,US,36.62,-121.92,57.2,71,90,10.0,1605316914
462,Ola,RU,59.58,151.28,18.7,89,100,16.78,1605316914
463,Santarém,BR,-2.44,-54.71,78.8,94,0,2.24,1605316914
464,Rottingdean,GB,50.81,-0.06,53.01,89,100,1.99,1605316914
465,Yangambi,CD,0.81,24.43,69.73,96,99,1.7,1605316914
466,Ürümqi,CN,43.8,87.6,35.6,69,0,2.24,1605316697
467,Tamandaré,BR,-8.76,-35.1,77.43,83,100,9.13,1605316914
468,San Roque,ES,36.21,-5.38,64.4,93,100,9.17,1605316914
469,Vanimo,PG,-2.67,141.3,85.78,66,46,4.81,1605316915
470,Rondonópolis,BR,-16.47,-54.64,78.75,62,0,2.26,1605316914
471,Vao,NC,-22.67,167.48,74.62,82,0,10.8,1605316915
472,Coyhaique,CL,-45.58,-72.07,50.0,61,75,8.05,1605316915
473,Baruun-Urt,MN,46.68,113.28,30.45,76,0,8.81,1605316915
474,Rurrenabaque,BO,-14.44,-67.53,77.2,81,53,2.04,1605316915
475,Orotukan,RU,62.27,151.7,-3.91,87,100,0.78,1605316915
476,Tiznit Province,MA,29.58,-9.5,70.25,46,100,5.73,1605316915
477,Husavik,IS,66.04,-17.34,24.8,92,90,9.51,1605316915
478,Marang,MY,5.21,103.21,77.0,94,20,2.24,1605316916
479,Gondanglegi,ID,-7.75,112.01,85.14,69,64,7.61,1605316916
480,Labuhan,ID,-6.88,112.21,85.19,72,0,3.24,1605316916
481,Sambava,MG,-14.27,50.17,74.91,90,99,2.21,1605316916
482,Antalaha,MG,-14.9,50.28,73.49,91,93,2.1,1605316916
483,Cartagena del Chairá,CO,1.33,-74.84,75.74,89,100,2.17,1605316916
484,Khonsa,IN,27.02,95.57,61.36,69,0,2.71,1605316916
485,Concepción,CL,-36.83,-73.05,57.2,82,0,10.29,1605316916
486,Kisangani,CD,0.52,25.2,69.58,98,100,1.88,1605316916
487,Wajir,KE,1.75,40.06,76.57,81,0,10.94,1605316916
488,Fayaoué,NC,-20.65,166.53,76.75,78,29,7.25,1605316917
489,Conde,BR,-7.26,-34.91,78.8,83,20,9.17,1605316917
490,Buraidah,SA,26.33,43.98,60.8,87,0,4.7,1605316657
491,Mizdah,LY,31.45,12.98,55.08,75,0,3.76,1605316917
492,Boyolali,ID,-7.53,110.6,86.0,70,20,2.24,1605316917
493,San Miguel,SV,13.48,-88.18,74.95,91,0,2.93,1605316917
494,Tiksi,RU,71.69,128.87,-5.28,93,97,2.37,1605316917
495,Torbay,CA,47.67,-52.73,37.0,77,75,2.24,1605316917
496,Sobolevo,RU,54.43,31.9,29.44,96,100,6.51,1605316918
497,Yulara,AU,-25.24,130.99,93.2,7,0,8.05,1605316918
498,Hūn,LY,29.13,15.95,59.92,72,0,2.42,1605316918
499,Alyangula,AU,-13.85,136.42,89.6,62,0,9.17,1605316918
500,Pisco,PE,-13.7,-76.22,64.99,88,0,18.34,1605316810
501,Otradnoye,RU,59.78,30.82,35.01,86,48,4.14,1605316918
502,Villa Juárez,MX,24.65,-107.54,78.8,41,5,6.93,1605316924
503,Kampot,KH,10.62,104.18,84.2,58,0,1.12,1605316924
504,Loandjili,CG,-4.76,11.86,77.0,94,40,3.96,1605316924
505,Huangnihe,CN,43.56,128.02,37.89,66,0,2.57,1605316924
506,Hobyo,SO,5.35,48.53,79.05,76,100,12.88,1605316924
507,Kiama,AU,-34.68,150.87,79.0,77,0,8.14,1605316924
508,Meshchovsk,RU,54.32,35.28,27.45,96,67,3.58,1605316924
509,Santa Clara,CU,22.4,-79.97,77.0,94,20,6.93,1605316853
510,Merauke,ID,-8.47,140.33,87.91,52,0,8.16,1605316924
511,Turukhansk,RU,65.82,87.98,-15.29,90,96,2.42,1605316924
512,Nyurba,RU,63.28,118.33,11.84,96,99,3.38,1605316924
513,Taoudenni,ML,22.68,-3.98,73.53,21,100,10.98,1605316925
514,San Miguel de Cozumel,MX,20.51,-86.95,78.8,83,40,10.4,1605316920
515,Alcântara,BR,-2.41,-44.41,80.6,83,0,8.05,1605316925
516,Ziro,IN,27.63,93.83,43.65,76,0,2.91,1605316925
517,Distrikt Brokopondo,SR,4.75,-55.17,81.55,75,98,12.68,1605316925
518,Tshikapa,CD,-6.42,20.8,70.32,94,100,2.35,1605316925
519,Rocha,UY,-34.48,-54.33,60.91,97,60,2.82,1605316925
520,Visby,SE,57.64,18.3,44.6,93,93,6.93,1605316925
521,Petropavlovka,RU,50.61,105.32,26.6,88,64,3.74,1605316925
522,Ahipara,NZ,-35.17,173.17,67.26,55,0,6.24,1605316926
523,Cabo San Lucas,MX,22.89,-109.91,77.0,53,20,11.41,1605316889
524,Inhambane,MZ,-23.86,35.38,67.84,74,0,7.16,1605316926
525,Mareeba,AU,-17.0,145.43,88.0,59,38,4.0,1605316926
526,Touros,BR,-5.2,-35.46,77.0,88,40,6.93,1605316749
527,Richards Bay,ZA,-28.78,32.04,68.47,78,0,13.65,1605316926
528,Maumere,ID,-8.62,122.21,86.74,64,100,2.44,1605316926
529,Samarai,PG,-10.62,150.67,81.1,68,0,6.24,1605316926
530,Fernie,CA,49.5,-115.07,32.0,92,100,2.24,1605316814
531,Camagüey,CU,21.38,-77.92,77.0,100,20,9.17,1605316926
532,Cabedelo,BR,-6.98,-34.83,78.8,83,20,9.17,1605316926
533,Southbridge,US,42.08,-72.03,44.01,99,16,6.93,1605316926
534,Ostrovnoy,RU,68.05,39.51,34.72,89,100,12.39,1605316927
535,Kuloy,RU,61.03,42.49,33.69,98,100,2.08,1605316927
536,Pareora,NZ,-44.49,171.21,73.0,42,20,5.99,1605316927
537,Belaya Gora,RU,68.53,146.42,-20.25,88,93,0.76,1605316927
538,Laas,IT,46.62,10.7,37.0,86,5,1.97,1605316927
539,Nyaunglebin,MM,17.95,96.73,73.81,88,0,6.11,1605316927
540,Maniitsoq,GL,65.42,-52.9,18.52,90,32,7.76,1605316928
541,Forbes,AU,-33.38,148.02,72.88,38,0,8.23,1605316928
542,Nandu,CN,22.85,110.82,65.53,54,100,4.25,1605316928
543,Rawson,AR,-43.3,-65.1,64.76,42,61,17.85,1605316928
544,Cisternino,IT,40.74,17.42,57.99,89,1,1.9,1605316928
545,Almeirim,BR,-1.52,-52.58,79.0,77,1,4.5,1605316750
546,Humaitá,BR,-7.51,-63.02,77.86,84,99,1.88,1605316928
547,Isangel,VU,-19.55,169.27,84.2,74,20,5.82,1605316928
548,Whitehorse,CA,60.72,-135.05,19.4,92,75,4.7,1605316928
549,Pedasí,PA,7.53,-80.03,79.39,80,100,9.95,1605316928
550,La Santisima Trinidad,BO,-14.83,-64.9,79.68,71,89,1.77,1605316934
551,Sidi Ali,DZ,36.1,0.42,60.53,86,92,2.48,1605316934
552,Vilhena,BR,-12.74,-60.15,70.3,85,1,4.54,1605316934
553,Porbandar,IN,21.64,69.61,75.85,50,0,9.31,1605316934
554,Bwanga,TZ,-3.03,31.76,62.67,93,41,1.68,1605316934
555,Kourou,GF,5.16,-52.65,78.8,100,100,2.24,1605316934
556,Smithers,CA,54.78,-127.17,32.0,94,90,2.42,1605316757
